Altium Designer Pick and Place Locations
C:\Users\idiaz\Documents\allin\Lens-PCB\Lens-Maker\Project Outputs for Lens-Maker\Pick Place\Pick-and-Place.csv

========================================================================================================================
File Design Information:

Date:       07/05/23
Time:       23:55
Revision:   9b7b043530e256e331a7bcaa6c033989eea20319
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U4","TopLayer","57.4574mm","14.7066mm","90"
"TP5","TopLayer","20.9288mm","35.3060mm","0"
"TP4","TopLayer","71.3740mm","9.2718mm","180"
"TP3","TopLayer","4.0000mm","37.9730mm","90"
"TP2","TopLayer","67.8180mm","12.8540mm","0"
"TP1","TopLayer","67.8180mm","17.1450mm","0"
"P5","TopLayer","4.0000mm","12.0998mm","270"
"P9_1","TopLayer","59.0550mm","37.3380mm","270"
"R20","TopLayer","88.9900mm","44.7040mm","180"
"R19","TopLayer","88.9900mm","46.3550mm","180"
"R18","TopLayer","91.4400mm","45.9318mm","90"
"P9_2","TopLayer","64.8821mm","37.3380mm","270"
"P8","TopLayer","83.5660mm","45.9740mm","0"
"P7","TopLayer","72.5170mm","45.9740mm","0"
"P6","TopLayer","95.9358mm","34.7610mm","270"
"C24_3","TopLayer","53.2323mm","22.0653mm","0"
"C24_2","TopLayer","15.9827mm","22.0214mm","0"
"C24_1","TopLayer","34.7463mm","22.0046mm","0"
"U2","TopLayer","83.6222mm","10.9490mm","270"
"R17","TopLayer","68.2498mm","9.2542mm","90"
"D2","TopLayer","66.1670mm","9.2542mm","90"
"C23","TopLayer","56.4074mm","19.9325mm","180"
"C22","TopLayer","56.4074mm","9.5250mm","180"
"C21","TopLayer","62.2072mm","12.8316mm","90"
"C20","TopLayer","60.5790mm","9.2718mm","0"
"H5","TopLayer","69.2658mm","3.8100mm","0"
"H4","TopLayer","4.0000mm","45.0000mm","0"
"H3","TopLayer","60.0000mm","45.0000mm","0"
"H2","TopLayer","95.7580mm","44.8818mm","0"
"H1","TopLayer","4.0000mm","4.0000mm","0"
"P10","TopLayer","60.0202mm","4.1148mm","0"
"S1","TopLayer","78.3370mm","32.4300mm","0"
"P3","TopLayer","15.2850mm","43.0000mm","180"
"U3","TopLayer","66.6335mm","24.6830mm","90"
"R13","TopLayer","61.4452mm","23.1330mm","90"
"R12","TopLayer","66.1521mm","29.5299mm","180"
"R11","TopLayer","66.1521mm","31.4299mm","0"
"R10","TopLayer","86.2670mm","34.3800mm","0"
"R9","TopLayer","86.2670mm","30.4800mm","180"
"Q2","TopLayer","61.8441mm","30.4799mm","270"
"Q1","TopLayer","70.3277mm","30.4799mm","90"
"C19","TopLayer","86.8680mm","23.5290mm","270"
"C18","TopLayer","71.5211mm","26.9830mm","0"
"C17","TopLayer","71.5211mm","23.1830mm","0"
"C16","TopLayer","71.5211mm","25.1130mm","180"
"C15","TopLayer","69.6789mm","19.9325mm","180"
"C14","TopLayer","91.2322mm","24.0790mm","90"
"C13","TopLayer","88.8954mm","24.0790mm","90"
"C12","TopLayer","93.5990mm","24.9680mm","90"
"C11","TopLayer","95.9358mm","24.9680mm","90"
"R8","TopLayer","40.6447mm","16.7218mm","90"
"P4","TopLayer","31.7850mm","43.0000mm","180"
"P2","TopLayer","48.2850mm","43.0000mm","180"
"P1","TopLayer","37.7830mm","10.8740mm","90"
"D1","TopLayer","38.8366mm","16.7218mm","90"
"U1_1","TopLayer","29.2099mm","25.3152mm","0"
"S2_1","TopLayer","25.2041mm","7.2898mm","0"
"R16_1","TopLayer","30.4973mm","18.8825mm","90"
"R15_1","TopLayer","28.5750mm","18.8825mm","90"
"R14_1","TopLayer","26.7099mm","18.8825mm","90"
"R7_1","TopLayer","34.7463mm","25.8152mm","0"
